iter	RMSE
0	7299.688799
1	7015.954471
2	6739.912552
3	6498.452626
4	6255.732111
5	6024.651491
6	5805.688731
7	5622.94487
8	5431.196088
9	5256.081106
10	5087.297698
11	4931.60207
12	4793.970764
13	4662.037931
14	4533.289036
15	4413.224664
16	4292.551112
17	4187.772025
18	4094.001219
19	3998.132807
20	3913.482057
21	3832.771169
22	3758.53169
23	3684.078049
24	3618.319518
25	3555.159712
26	3495.823269
27	3442.525655
28	3390.775732
29	3340.623236
30	3293.760816
31	3252.51644
32	3213.627718
33	3175.702356
34	3143.350276
35	3112.164763
36	3083.108514
37	3055.697922
38	3027.456806
39	3001.31463
40	2976.073255
41	2953.15813
42	2932.368612
43	2913.564568
44	2895.611592
45	2876.489463
46	2859.407642
47	2842.891074
48	2826.602458
49	2811.334228
50	2798.418582
51	2785.961614
52	2775.514881
53	2762.757639
54	2754.286286
55	2746.457587
56	2735.32272
57	2726.045583
58	2718.052827
59	2708.504479
60	2700.238051
61	2692.071272
62	2684.853999
63	2676.972824
64	2670.608538
65	2663.542186
66	2658.301752
67	2651.148398
68	2645.567794
69	2640.337174
70	2633.076253
71	2627.298272
72	2622.178845
73	2616.550673
74	2611.436203
75	2605.763568
76	2601.057496
77	2596.73676
78	2593.138239
79	2588.58756
80	2584.270419
81	2580.327811
82	2576.499268
83	2572.543205
84	2568.347726
85	2565.136517
86	2561.693215
87	2557.71876
88	2554.206044
89	2551.385582
90	2548.126844
91	2544.776564
92	2542.739801
93	2540.096983
94	2537.993016
95	2535.4372
96	2533.107532
97	2530.498335
98	2528.157419
99	2526.159364
100	2524.405142
101	2522.539684
102	2519.350504
103	2517.399886
104	2514.6043
105	2512.675271
106	2510.839619
107	2508.855083
108	2507.178703
109	2505.32386
110	2503.822244
111	2501.81406
112	2499.223015
113	2497.600179
114	2496.591408
115	2494.41512
116	2492.541553
117	2490.99446
118	2489.896944
119	2488.126259
120	2486.157041
121	2484.775174
122	2484.481883
123	2482.837342
124	2481.363418
125	2479.880785
126	2478.591676
127	2477.688611
128	2476.450329
129	2475.194238
130	2473.671609
131	2473.40697
132	2472.04207
133	2470.84847
134	2469.584647
135	2468.064558
136	2466.718208
137	2466.533378
138	2466.009303
139	2464.747437
140	2463.431493
141	2461.795163
142	2460.615968
143	2459.634848
144	2459.210226
145	2458.427692
146	2457.498144
147	2456.627959
148	2455.250402
149	2454.640689
150	2453.234354
151	2452.437852
152	2451.035614
153	2449.966691
154	2448.798712
155	2447.66874
156	2446.649205
157	2446.315804
158	2446.011364
159	2445.38967
160	2444.739736
161	2443.57097
162	2442.944644
163	2441.890323
164	2440.336141
