iter	Passed	Remaining
0	43	43536
1	97	48674
2	149	49535
3	194	48433
4	237	47308
5	297	49240
6	340	48356
7	370	45974
8	414	45614
9	460	45632
10	510	45899
11	553	45582
12	609	46243
13	653	46034
14	697	45786
15	743	45727
16	791	45751
17	833	45447
18	867	44792
19	917	44933
20	963	44902
21	1068	47489
22	1192	50646
23	1293	52600
24	1354	52808
25	1402	52544
26	1452	52346
27	1499	52042
28	1552	51987
29	1598	51682
30	1655	51735
31	1701	51470
32	1743	51088
33	1804	51257
34	1854	51137
35	1900	50889
36	1956	50914
37	2004	50745
38	2052	50570
39	2101	50437
40	2143	50133
41	2187	49897
42	2241	49878
43	2285	49667
44	2330	49447
45	2380	49361
46	2423	49137
47	2471	49021
48	2533	49174
49	2579	49009
50	2622	48806
51	2687	48989
52	2744	49032
53	2800	49052
54	2845	48883
55	2896	48820
56	2962	49009
57	3011	48910
58	3056	48746
59	3117	48846
60	3163	48693
61	3229	48861
62	3280	48788
63	3328	48672
64	3372	48508
65	3516	49763
66	3606	50227
67	3701	50729
68	3751	50619
69	3799	50474
70	3851	50389
71	3898	50247
72	3945	50096
73	3997	50021
74	4046	49905
75	4095	49789
76	4158	49853
77	4204	49697
78	4250	49548
79	4300	49457
80	4347	49330
81	4392	49179
82	4452	49189
83	4496	49032
84	4556	49048
85	4609	48994
86	4664	48949
87	4739	49122
88	4795	49087
89	4847	49010
90	4907	49016
91	4960	48956
92	5008	48847
93	5079	48957
94	5128	48852
95	5189	48863
96	5238	48769
97	5289	48682
98	5355	48739
99	5405	48645
100	5456	48567
101	5520	48604
102	5575	48558
103	5640	48596
104	5695	48545
105	5744	48450
106	5802	48424
107	5854	48357
108	5904	48265
109	5953	48172
110	6005	48099
111	6057	48024
112	6104	47918
113	6154	47833
114	6200	47717
115	6244	47586
116	6297	47523
117	6340	47389
118	6390	47309
119	6450	47302
120	6494	47176
121	6550	47144
122	6571	46852
123	6616	46739
124	6662	46639
125	6717	46594
126	6769	46535
127	6827	46512
128	6881	46461
129	6934	46405
130	6978	46291
131	7000	46035
132	7055	45993
133	7098	45873
134	7150	45815
135	7200	45743
136	7245	45638
137	7259	45342
138	7301	45227
139	7371	45285
140	7414	45169
141	7462	45088
142	7516	45044
143	7566	44981
144	7596	44790
145	7645	44723
146	7690	44626
147	7732	44514
148	7789	44489
149	7838	44418
150	7884	44331
151	7942	44310
152	7988	44226
153	8034	44140
154	8093	44120
155	8137	44026
156	8181	43929
157	8229	43857
158	8278	43789
159	8336	43768
160	8401	43784
161	8458	43752
162	8509	43697
163	8576	43718
164	8625	43652
165	8677	43598
166	8740	43596
167	8788	43522
168	8836	43448
169	8890	43405
170	8941	43345
171	8987	43266
172	9043	43232
173	9089	43149
174	9138	43082
175	9198	43066
176	9250	43011
177	9296	42930
178	9350	42884
179	9397	42811
180	9445	42741
181	9504	42715
182	9554	42654
183	9599	42572
184	9668	42592
185	9708	42488
186	9754	42406
187	9811	42378
188	9857	42299
189	9905	42227
190	9957	42174
191	10000	42084
192	10044	41998
193	10100	41963
194	10146	41885
195	10196	41824
196	10245	41760
197	10288	41675
198	10335	41599
199	10384	41536
200	10425	41442
201	10468	41356
202	10533	41355
203	10579	41280
204	10620	41188
205	10676	41150
206	10726	41093
207	10767	41000
208	10818	40943
209	10864	40871
210	10911	40800
211	10966	40761
212	11013	40692
213	11058	40617
214	11112	40572
215	11155	40490
216	11201	40417
217	11257	40381
218	11301	40304
219	11347	40230
220	11398	40178
221	11457	40152
222	11500	40070
223	11558	40040
224	11604	39969
225	11651	39904
226	11695	39826
227	11748	39780
228	11796	39717
229	11848	39666
230	11898	39611
231	11945	39544
232	11995	39486
